family,kernel,size,threads,variant,median_runtime_sec,median_wall_time_sec,all_runtimes_sec,last_output
polybench_style,gemm,large,16,baseline,0.009799,0.013925552368164062,0.010291;0.009799;0.009773,"kernel=gemm,size=large,n=768,threads=16,runtime_sec=0.009773"
polybench_style,gemm,large,16,optimized,0.004648,0.009203910827636719,0.004619;0.004648;0.004885,"kernel=gemm,size=large,n=768,threads=16,runtime_sec=0.004885"
polybench_style,syrk,small,1,baseline,0.0038,0.006046295166015625,0.0038;0.002008;0.003804,"kernel=syrk,size=small,n=256,threads=1,runtime_sec=0.003804"
polybench_style,syrk,small,1,optimized,0.003202,0.0058002471923828125,0.002289;0.003223;0.003202,"kernel=syrk,size=small,n=256,threads=1,runtime_sec=0.003202"
polybench_style,syrk,small,2,baseline,0.002889,0.005754232406616211,0.002913;0.002869;0.002889,"kernel=syrk,size=small,n=256,threads=2,runtime_sec=0.002889"
polybench_style,syrk,small,2,optimized,0.002458,0.00526738166809082,0.002433;0.002459;0.002458,"kernel=syrk,size=small,n=256,threads=2,runtime_sec=0.002458"
polybench_style,syrk,small,4,baseline,0.001752,0.004658937454223633,0.001754;0.001752;0.001741,"kernel=syrk,size=small,n=256,threads=4,runtime_sec=0.001741"
polybench_style,syrk,small,4,optimized,0.001503,0.004441976547241211,0.001503;0.001504;0.001499,"kernel=syrk,size=small,n=256,threads=4,runtime_sec=0.001499"
polybench_style,syrk,small,8,baseline,0.001084,0.004389762878417969,0.001091;0.001072;0.001084,"kernel=syrk,size=small,n=256,threads=8,runtime_sec=0.001084"
polybench_style,syrk,small,8,optimized,0.00095,0.004241228103637695,0.00092;0.000963;0.00095,"kernel=syrk,size=small,n=256,threads=8,runtime_sec=0.000950"
polybench_style,syrk,small,16,baseline,0.000841,0.0048067569732666016,0.000841;0.000828;0.000867,"kernel=syrk,size=small,n=256,threads=16,runtime_sec=0.000867"
polybench_style,syrk,small,16,optimized,0.000828,0.0047454833984375,0.000806;0.000828;0.000846,"kernel=syrk,size=small,n=256,threads=16,runtime_sec=0.000846"
polybench_style,syrk,standard,1,baseline,0.023853,0.027252912521362305,0.023734;0.025346;0.023853,"kernel=syrk,size=standard,n=512,threads=1,runtime_sec=0.023853"
polybench_style,syrk,standard,1,optimized,0.021132,0.024048805236816406,0.021132;0.020349;0.022834,"kernel=syrk,size=standard,n=512,threads=1,runtime_sec=0.022834"
polybench_style,syrk,standard,2,baseline,0.02005,0.022858381271362305,0.021495;0.02005;0.019453,"kernel=syrk,size=standard,n=512,threads=2,runtime_sec=0.019453"
polybench_style,syrk,standard,2,optimized,0.019091,0.02199077606201172,0.019964;0.019091;0.019014,"kernel=syrk,size=standard,n=512,threads=2,runtime_sec=0.019014"
polybench_style,syrk,standard,4,baseline,0.013226,0.01609945297241211,0.013226;0.008299;0.014322,"kernel=syrk,size=standard,n=512,threads=4,runtime_sec=0.014322"
polybench_style,syrk,standard,4,optimized,0.013267,0.015974998474121094,0.012177;0.013267;0.013374,"kernel=syrk,size=standard,n=512,threads=4,runtime_sec=0.013374"
polybench_style,syrk,standard,8,baseline,0.008089,0.011356353759765625,0.008095;0.006773;0.008089,"kernel=syrk,size=standard,n=512,threads=8,runtime_sec=0.008089"
polybench_style,syrk,standard,8,optimized,0.006592,0.010109186172485352,0.006567;0.006592;0.007351,"kernel=syrk,size=standard,n=512,threads=8,runtime_sec=0.007351"
polybench_style,syrk,standard,16,baseline,0.004629,0.008536577224731445,0.004645;0.004629;0.004448,"kernel=syrk,size=standard,n=512,threads=16,runtime_sec=0.004448"
polybench_style,syrk,standard,16,optimized,0.004421,0.008469581604003906,0.004421;0.004713;0.004026,"kernel=syrk,size=standard,n=512,threads=16,runtime_sec=0.004026"
polybench_style,syrk,large,1,baseline,0.047405,0.052263498306274414,0.049222;0.047405;0.046608,"kernel=syrk,size=large,n=768,threads=1,runtime_sec=0.046608"
polybench_style,syrk,large,1,optimized,0.045094,0.04982495307922363,0.044424;0.045433;0.045094,"kernel=syrk,size=large,n=768,threads=1,runtime_sec=0.045094"
polybench_style,syrk,large,2,baseline,0.040879,0.04453229904174805,0.040879;0.023206;0.041337,"kernel=syrk,size=large,n=768,threads=2,runtime_sec=0.041337"
polybench_style,syrk,large,2,optimized,0.022465,0.02594733238220215,0.022465;0.022072;0.034719,"kernel=syrk,size=large,n=768,threads=2,runtime_sec=0.034719"
polybench_style,syrk,large,4,baseline,0.030962,0.03426337242126465,0.030962;0.032579;0.025534,"kernel=syrk,size=large,n=768,threads=4,runtime_sec=0.025534"
polybench_style,syrk,large,4,optimized,0.030129,0.03345632553100586,0.031501;0.030129;0.026659,"kernel=syrk,size=large,n=768,threads=4,runtime_sec=0.026659"
